,year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
0,2008,01,0,4930902570,0,0,0,0
1,2008,02,0,4818393763,0,0,0,0
2,2008,03,0,4955405809,0,0,0,0
3,2008,04,0,5159162183,0,0,0,0
4,2008,05,0,5584691092,0,0,0,0
5,2008,06,0,5712104279,0,0,0,0
6,2008,07,0,5306302874,0,0,0,0
7,2008,08,0,5140155519,0,0,0,0
8,2008,09,0,5479533823,0,0,0,0
9,2008,10,0,5679440782,0,0,0,0
10,2008,11,0,5415832071,0,0,0,0
11,2008,12,0,5211708451,0,0,0,0
12,2009,01,0,5802681551,0,0,0,0
13,2009,02,0,5547320860,0,0,0,0
14,2009,03,0,6295159057,0,0,0,0
15,2009,04,0,5988817321,0,0,0,0
16,2009,05,0,6267516733,0,0,0,0
17,2009,06,0,5818924182,0,0,0,0
18,2009,07,0,5801646978,0,0,0,0
19,2009,08,0,5790850384,0,0,0,0
20,2009,09,0,4057515768,0,0,0,0
21,2009,10,0,6016107147,0,0,0,0
22,2009,11,0,5768486910,0,0,0,0
23,2009,12,0,5426505977,0,0,0,0
24,2010,01,0,5703465285,0,0,0,0
25,2010,02,0,5762451418,0,0,0,0
26,2010,03,0,6661347946,0,0,0,0
27,2010,04,0,6618552152,0,0,0,0
28,2010,05,0,6410578775,0,0,0,0
29,2010,06,0,4898035014,0,0,0,0
30,2010,07,0,5296177638,0,0,0,0
31,2010,08,0,7381346660,0,0,0,0
32,2010,09,0,7546488744,0,0,0,0
33,2010,10,0,10172844562,0,0,0,0
34,2010,11,0,6948678354,0,0,0,0
35,2010,12,0,7001952100,0,0,0,0
36,2011,01,0,7568511227,0,0,0,0
37,2011,02,0,6906248849,0,0,0,0
38,2011,03,0,7326545928,0,0,0,0
39,2011,04,0,6835492088,0,0,0,0
40,2011,05,0,7009799378,0,0,0,0
41,2011,06,0,6536675534,0,0,0,0
42,2011,07,0,6571730164,0,0,0,0
43,2011,08,0,6514500361,0,0,0,0
44,2011,09,0,5837738935,0,0,0,0
45,2011,10,0,6974424665,0,0,0,0
46,2011,11,0,7507641641,0,0,0,0
47,2011,12,0,6396357939,0,0,0,0
48,2012,01,0,7808477339,0,0,0,0
49,2012,02,0,7530127141,0,0,0,0
50,2012,03,0,7358543625,0,0,0,0
51,2012,04,0,7220029422,0,0,0,0
52,2012,05,0,7784479302,0,0,0,0
53,2012,06,0,7524265988,0,0,0,0
54,2012,07,0,7819376527,0,0,0,0
55,2012,08,0,7885641059,0,0,0,0
56,2012,09,0,7913689733,0,0,0,0
57,2012,10,0,8379960050,0,0,0,0
58,2012,11,0,8219987195,0,0,0,0
59,2012,12,0,8033826900,0,0,0,0
60,2013,01,0,9126210673,0,0,0,0
61,2013,02,0,8100597857,0,0,0,0
62,2013,03,0,8701419671,0,0,0,0
63,2013,04,0,8049296729,0,0,0,0
64,2013,05,0,8089099883,0,0,0,0
65,2013,06,0,7759959725,0,0,0,0
66,2013,07,0,8237301982,0,0,0,0
67,2013,08,0,9306122925,0,0,0,0
68,2013,09,0,9985326806,0,0,0,0
69,2013,10,0,10775158269,0,0,0,0
70,2013,11,0,10414877805,0,0,0,0
71,2013,12,0,7102459747,0,0,0,0
72,2014,01,0,7026531269,0,0,0,0
73,2014,02,0,6718243109,0,0,0,0
74,2014,03,0,7464128273,0,0,0,0
75,2014,04,0,7216245221,0,0,0,0
76,2014,05,0,7543277646,0,0,0,0
77,2014,06,0,6577352648,0,0,0,0
78,2014,07,0,6761059566,0,0,0,0
79,2014,08,0,6687313714,0,0,0,0
80,2014,09,0,7564600999,0,0,0,0
81,2014,10,8022449255,6577533128,3091546685,0,0,0
82,2014,11,7845883431,6153537606,3027489668,0,0,0
83,2014,12,8234355830,5830332248,3278950021,0,0,0
84,2015,01,8644464274,6103767055,3485302091,0,0,0
85,2015,02,8676225571,5602710439,3091534479,0,0,0
86,2015,03,9042936867,6346602713,3330832588,0,0,0
87,2015,04,8528392791,6198945657,3222089917,0,0,0
88,2015,05,8474225002,6323801814,3334069483,0,0,0
89,2015,06,8517696286,5165413640,3038162463,0,0,0
90,2015,07,8933913477,5229226022,3254472695,7665421980,4376666686,3288755294
91,2015,08,8684319653,5035534449,3268487582,7634815221,4332482183,3302333038
92,2015,09,8384138278,5409631355,3172429827,7655695037,4485491704,3170203333
93,2015,10,9048764056,5535704471,3246082505,7746031887,4477532755,3268499132
94,2015,11,8765555372,5296956116,3218234512,7524321290,4287720220,3236601070
95,2015,12,9682570920,5264446173,3387411863,7476287344,4100012037,3376275307
96,2016,01,9728446063,5569632502,3739628742,8154016303,4436179457,3717836846
97,2016,02,9600748125,5347709361,3333231392,7585859457,4250997185,3334862272
98,2016,03,9238777818,5407676056,3419853636,7673274617,4286590426,3386684191
99,2016,04,9103032102,5572235399,3301385124,7408147859,4149383857,3258764002
100,2016,05,9209286189,5330532334,3418435805,7586811330,4191778094,3395033236
101,2016,06,7430133831,4975092447,3372618063,7243630656,3888839711,3354790945
102,2016,07,9516768268,5363966439,3500661121,7834439589,4337865827,3496573762
103,2016,08,0,0,0,8210865519,4695046216,3515819303
104,2016,09,0,0,0,7528292279,4135006498,3393285781
105,2016,10,0,0,0,7871021581,4361737690,3509283891
106,2016,11,0,0,0,7983113161,4392068236,3591044925
107,2016,12,0,0,0,7986152433,4209608578,3776543855
108,2017,01,0,0,0,8753941940,4521980398,4231961542
109,2017,02,0,0,0,7738463562,4026702163,3711761399
110,2017,03,0,0,0,8223465891,4319971902,3903493989
111,2017,04,0,0,0,7591080111,3951456992,3639623119
112,2017,05,0,0,0,7874558299,4187870579,3686687720
113,2017,06,0,0,0,7123934190,3604550997,3519383193
114,2017,07,0,0,0,7290503797,3565444544,3725059253
115,2017,08,0,0,0,7196978615,3575572313,3621406302
116,2017,09,0,0,0,7079052261,3547447892,3531604369
